[2025-12-17 08:50:33] [INFO    ] discord.client: logging in using static token
[2025-12-17 08:50:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Mahjong', 'primary_guild': None, 'mfa_enabled': False, 'id': '1439608995815100529', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '3202', 'clan': None, 'bot': True, 'avatar': 'c8ca0add444f297894011de505df9d63'}, 'session_type': 'normal', 'session_id': '04b26171a5ccb5e64776694f8d8aeea5', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1439628667511898308'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'hongkong', 'india', 'japan', 'dubai'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1439608995815100529', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-c1vt",{"micros":301711,"calls":["id_created",{"micros":455,"calls":[]},"session_lookup_time",{"micros":262,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-24",{"micros":300718,"calls":["start_session",{"micros":294632,"calls":["discord-api-rpc-6948984459-d87zp",{"micros":87150,"calls":["get_user",{"micros":8820},"get_guilds",{"micros":7185},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":167},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":4080},"apex_experiments",{"micros":192378},"user_activities",{"micros":6},"played_application_ids",{"micros":4},"linked_users",{"micros":4}]}]},"starting_guild_connect",{"micros":33,"calls":[]},"presence_started",{"micros":227,"calls":[]},"guilds_started",{"micros":59,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":0,"calls":[]},"presence_connect",{"micros":5743,"calls":[]},"connect_finished",{"micros":5752,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-12-17 08:50:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-17 08:50:35] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 04b26171a5ccb5e64776694f8d8aeea5).
[2025-12-17 08:50:35] [DEBUG   ] discord.client: Dispatching event connect
[2025-12-17 08:50:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'vanity_url_code': None, 'joined_at': '2025-11-16T15:02:27.231000+00:00', 'moderator_reporting': None, 'profile': None, 'lazy': True, 'default_message_notifications': 0, 'home_header': None, 'discovery_splash': None, 'premium_progress_bar_enabled': False, 'explicit_content_filter': 0, 'voice_states': [], 'members': [{'user': {'username': 'Mahjong', 'public_flags': 0, 'primary_guild': None, 'id': '1439608995815100529', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3202', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c8ca0add444f297894011de505df9d63'}, 'roles': ['1439631711938936915'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-16T15:02:27.231000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'max_video_channel_users': 25, 'member_count': 2, 'premium_features': None, 'id': '1439628667511898308', 'max_members': 25000000, 'name': 'Mahjong', 'region': 'deprecated', 'presences': [], 'afk_timeout': 300, 'threads': [], 'guild_scheduled_events': [], 'roles': [{'version': 1763304621564, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1439628667511898308', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1763305353273, 'unicode_emoji': None, 'tags': {'bot_id': '1439608995815100529'}, 'position': 1, 'permissions': '563362539105344', 'name': 'Mahjong', 'mentionable': False, 'managed': True, 'id': '1439631711938936915', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'system_channel_flags': 0, 'rules_channel_id': None, 'latest_onboarding_question_id': None, 'owner_id': '512192531220398090', 'description': None, 'public_updates_channel_id': None, 'owner_configured_content_level': 0, 'embedded_activities': [], 'nsfw_level': 0, 'application_id': None, 'unavailable': False, 'premium_tier': 0, 'features': ['ENABLED_MODERATION_EXPERIENCE_FOR_NON_COMMUNITY'], 'system_channel_id': '1439628668459683872', 'activity_instances': [], 'large': False, 'incidents_data': None, 'safety_alerts_channel_id': None, 'stickers': [], 'icon': None, 'stage_instances': [], 'splash': None, 'soundboard_sounds': [], 'application_command_counts': {}, 'afk_channel_id': None, 'preferred_locale': 'en-US', 'emojis': [], 'premium_subscription_count': 0, 'inventory_settings': None, 'hub_type': None, 'nsfw': False, 'version': 1763304768631, 'channels': [{'version': 1763304621569, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1439628668459683870', 'flags': 0}, {'version': 1763304621581, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1439628668459683871', 'flags': 0}, {'version': 1763304621589, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1439628668459683870', 'name': 'general', 'last_message_id': '1446388265283223653', 'id': '1439628668459683872', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1763304621597, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1439628668459683871', 'name': 'General', 'last_message_id': None, 'id': '1439628668459683873', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1763476606854, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1439628668459683870', 'name': 'mahjoong', 'last_message_id': '1440397622752972945', 'id': '1440350027028369429', 'flags': 0}], 'max_stage_video_channel_users': 50, 'banner': None, 'verification_level': 0, 'mfa_level': 0}}
[2025-12-17 08:50:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-17 08:50:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '102801b8c48511f2c401f2ffeec1fa32', 'members': [{'user': {'username': 'd0jyaaan_smn', 'public_flags': 256, 'primary_guild': None, 'id': '512192531220398090', 'global_name': '</dojyaaan>', 'display_name_styles': None, 'display_name': '</dojyaaan>', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'cd424bd2680fbc6cf4f63ed75936a610'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-16T14:50:21.446000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Mahjong', 'public_flags': 0, 'primary_guild': None, 'id': '1439608995815100529', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3202', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c8ca0add444f297894011de505df9d63'}, 'roles': ['1439631711938936915'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-16T15:02:27.231000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1439628667511898308', 'chunk_index': 0, 'chunk_count': 1}}
[2025-12-17 08:50:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-17 08:50:35] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1439628667511898308.
[2025-12-17 08:50:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-17T00:50:37.464000+00:00', 'pinned': False, 'nonce': '1450651365175984128', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1450651366044467353', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!queue', 'components': [], 'channel_type': 1, 'channel_id': '1440758890336620787', 'author': {'username': 'd0jyaaan_smn', 'public_flags': 256, 'primary_guild': None, 'id': '512192531220398090', 'global_name': '</dojyaaan>', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'cd424bd2680fbc6cf4f63ed75936a610'}, 'attachments': []}}
[2025-12-17 08:50:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-17 08:50:37] [DEBUG   ] discord.client: Dispatching event message
[2025-12-17 08:50:37] [DEBUG   ] discord.client: Dispatching event command
[2025-12-17 08:50:37] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-12-17 08:50:37] [DEBUG   ] discord.client: Dispatching event ready
[2025-12-17 08:50:37] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/512192531220398090 with None has returned 200
[2025-12-17 08:50:37] [DEBUG   ] discord.http: GET /users/{user_id} has found its initial rate limit bucket hash (481e0bf1883da82f2e83411bc2da9c89).
[2025-12-17 08:50:37] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/512192531220398090 has received {'id': '512192531220398090', 'username': 'd0jyaaan_smn', 'avatar': 'cd424bd2680fbc6cf4f63ed75936a610', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 2697521, 'global_name': '</dojyaaan>', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#292931', 'clan': None, 'primary_guild': None}
[2025-12-17 08:50:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-17T00:50:38.192000+00:00', 'pinned': False, 'nonce': '12694723240881227193', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1450651369097658488', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'd0jyaaan_smn joined the queue!', 'id': '1450651369097658489', 'description': '*Queueing for 0 seconds*', 'content_scan_version': 0, 'color': 65280}], 'edited_timestamp': None, 'content': '', 'components': [{'type': 1, 'id': 1, 'components': [{'type': 2, 'style': 4, 'label': 'Leave Queue', 'id': 2, 'custom_id': 'd7d21228fba55673c454a5fb18a3e476'}]}], 'channel_type': 1, 'channel_id': '1440758890336620787', 'author': {'username': 'Mahjong', 'public_flags': 0, 'primary_guild': None, 'id': '1439608995815100529', 'global_name': None, 'display_name_styles': None, 'discriminator': '3202', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c8ca0add444f297894011de505df9d63'}, 'attachments': []}}
[2025-12-17 08:50:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-17 08:50:38] [DEBUG   ] discord.client: Dispatching event message
[2025-12-17 08:50:38] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1440758890336620787/messages with {"embeds":[{"flags":0,"color":65280,"type":"rich","description":"*Queueing for 0 seconds*","title":"d0jyaaan_smn joined the queue!"}],"content":null,"components":[{"type":1,"components":[{"type":2,"style":4,"disabled":false,"label":"Leave Queue","custom_id":"d7d21228fba55673c454a5fb18a3e476"}]}],"nonce":"12694723240881227193","enforce_nonce":true,"tts":false} has returned 200
[2025-12-17 08:50:38] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-12-17 08:50:38] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1440758890336620787/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'd0jyaaan_smn joined the queue!', 'description': '*Queueing for 0 seconds*', 'color': 65280, 'content_scan_version': 0}], 'timestamp': '2025-12-17T00:50:38.192000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [{'type': 1, 'id': 1, 'components': [{'type': 2, 'id': 2, 'custom_id': 'd7d21228fba55673c454a5fb18a3e476', 'style': 4, 'label': 'Leave Queue'}]}], 'id': '1450651369097658488', 'channel_id': '1440758890336620787', 'author': {'id': '1439608995815100529', 'username': 'Mahjong', 'avatar': 'c8ca0add444f297894011de505df9d63', 'discriminator': '3202', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '12694723240881227193'}
[2025-12-17 08:50:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_UPDATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-17T00:50:38.192000+00:00', 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1450651369097658488', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'd0jyaaan_smn joined the queue!', 'id': '1450651369097658489', 'description': '*Queueing for 0 seconds*', 'content_scan_version': 3, 'color': 65280}], 'edited_timestamp': None, 'content': '', 'components': [{'type': 1, 'id': 1, 'components': [{'type': 2, 'style': 4, 'label': 'Leave Queue', 'id': 2, 'custom_id': 'd7d21228fba55673c454a5fb18a3e476'}]}], 'channel_type': 1, 'channel_id': '1440758890336620787', 'author': {'username': 'Mahjong', 'public_flags': 0, 'primary_guild': None, 'id': '1439608995815100529', 'global_name': None, 'display_name_styles': None, 'discriminator': '3202', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c8ca0add444f297894011de505df9d63'}, 'attachments': []}}
[2025-12-17 08:50:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-17 08:50:39] [DEBUG   ] discord.client: Dispatching event raw_message_edit
[2025-12-17 08:50:39] [DEBUG   ] discord.client: Dispatching event message_edit
[2025-12-17 08:50:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/512192531220398090 with None has returned 200
[2025-12-17 08:50:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/512192531220398090 has received {'id': '512192531220398090', 'username': 'd0jyaaan_smn', 'avatar': 'cd424bd2680fbc6cf4f63ed75936a610', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 2697521, 'global_name': '</dojyaaan>', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#292931', 'clan': None, 'primary_guild': None}
[2025-12-17 08:50:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_UPDATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-17T00:50:38.192000+00:00', 'position': 0, 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1450651369097658488', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'd0jyaaan_smn joined the queue!', 'id': '1450651376605728861', 'description': '*Queueing for 1 seconds*', 'content_scan_version': 0, 'color': 65280}], 'edited_timestamp': '2025-12-17T00:50:39.980125+00:00', 'content': '', 'components': [{'type': 1, 'id': 1, 'components': [{'type': 2, 'style': 4, 'label': 'Leave Queue', 'id': 2, 'custom_id': 'd7d21228fba55673c454a5fb18a3e476'}]}], 'channel_type': 1, 'channel_id': '1440758890336620787', 'author': {'username': 'Mahjong', 'public_flags': 0, 'primary_guild': None, 'id': '1439608995815100529', 'global_name': None, 'display_name_styles': None, 'discriminator': '3202', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c8ca0add444f297894011de505df9d63'}, 'attachments': []}}
[2025-12-17 08:50:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-17 08:50:40] [DEBUG   ] discord.client: Dispatching event raw_message_edit
[2025-12-17 08:50:40] [DEBUG   ] discord.client: Dispatching event message_edit
[2025-12-17 08:50:40] [DEBUG   ] discord.http: PATCH https://discord.com/api/v10/channels/1440758890336620787/messages/1450651369097658488 with {"embeds":[{"flags":0,"color":65280,"type":"rich","description":"*Queueing for 1 seconds*","title":"d0jyaaan_smn joined the queue!"}],"components":[{"type":1,"components":[{"type":2,"style":4,"disabled":false,"id":2,"label":"Leave Queue","custom_id":"d7d21228fba55673c454a5fb18a3e476"}]}],"tts":false,"flags":0} has returned 200
[2025-12-17 08:50:40] [DEBUG   ] discord.http: PATCH /channels/{channel_id}/messages/{message_id} has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-12-17 08:50:40] [DEBUG   ] discord.http: PATCH https://discord.com/api/v10/channels/1440758890336620787/messages/1450651369097658488 has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'd0jyaaan_smn joined the queue!', 'description': '*Queueing for 1 seconds*', 'color': 65280, 'content_scan_version': 0}], 'timestamp': '2025-12-17T00:50:38.192000+00:00', 'edited_timestamp': '2025-12-17T00:50:39.980125+00:00', 'flags': 0, 'components': [{'type': 1, 'id': 1, 'components': [{'type': 2, 'id': 2, 'custom_id': 'd7d21228fba55673c454a5fb18a3e476', 'style': 4, 'label': 'Leave Queue'}]}], 'id': '1450651369097658488', 'channel_id': '1440758890336620787', 'author': {'id': '1439608995815100529', 'username': 'Mahjong', 'avatar': 'c8ca0add444f297894011de505df9d63', 'discriminator': '3202', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False}
[2025-12-17 08:50:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/512192531220398090 with None has returned 200
[2025-12-17 08:50:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/512192531220398090 has received {'id': '512192531220398090', 'username': 'd0jyaaan_smn', 'avatar': 'cd424bd2680fbc6cf4f63ed75936a610', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 2697521, 'global_name': '</dojyaaan>', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#292931', 'clan': None, 'primary_guild': None}
[2025-12-17 08:50:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_UPDATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-17T00:50:38.192000+00:00', 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1450651369097658488', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'd0jyaaan_smn joined the queue!', 'id': '1450651376605728861', 'description': '*Queueing for 1 seconds*', 'content_scan_version': 3, 'color': 65280}], 'edited_timestamp': '2025-12-17T00:50:39.980000+00:00', 'content': '', 'components': [{'type': 1, 'id': 1, 'components': [{'type': 2, 'style': 4, 'label': 'Leave Queue', 'id': 2, 'custom_id': 'd7d21228fba55673c454a5fb18a3e476'}]}], 'channel_type': 1, 'channel_id': '1440758890336620787', 'author': {'username': 'Mahjong', 'public_flags': 0, 'primary_guild': None, 'id': '1439608995815100529', 'global_name': None, 'display_name_styles': None, 'discriminator': '3202', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c8ca0add444f297894011de505df9d63'}, 'attachments': []}}
[2025-12-17 08:50:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-17 08:50:40] [DEBUG   ] discord.client: Dispatching event raw_message_edit
[2025-12-17 08:50:40] [DEBUG   ] discord.client: Dispatching event message_edit
[2025-12-17 08:50:40] [DEBUG   ] discord.http: POST https://discord.com/api/v10/users/@me/channels with {"recipient_id":512192531220398090} has returned 200
[2025-12-17 08:50:40] [DEBUG   ] discord.http: POST /users/@me/channels has found its initial rate limit bucket hash (3f1ecb90c49938368145d0f8794b2707).
[2025-12-17 08:50:40] [DEBUG   ] discord.http: POST https://discord.com/api/v10/users/@me/channels has received {'id': '1440758890336620787', 'type': 1, 'last_message_id': '1450651369097658488', 'flags': 0, 'recipients': [{'id': '512192531220398090', 'username': 'd0jyaaan_smn', 'avatar': 'cd424bd2680fbc6cf4f63ed75936a610', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 2697521, 'global_name': '</dojyaaan>', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#292931', 'clan': None, 'primary_guild': None}]}
[2025-12-17 08:50:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-17T00:50:41.013000+00:00', 'position': 0, 'pinned': False, 'nonce': '15324341430809338709', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1450651380929790012', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Match found!', 'id': '1450651380929790013', 'description': 'Game starting with:\n<@512192531220398090>', 'content_scan_version': 0, 'color': 65280}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 1, 'channel_id': '1440758890336620787', 'author': {'username': 'Mahjong', 'public_flags': 0, 'primary_guild': None, 'id': '1439608995815100529', 'global_name': None, 'display_name_styles': None, 'discriminator': '3202', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c8ca0add444f297894011de505df9d63'}, 'attachments': []}}
[2025-12-17 08:50:41] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-17 08:50:41] [DEBUG   ] discord.client: Dispatching event message
[2025-12-17 08:50:41] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1440758890336620787/messages with {"embeds":[{"flags":0,"color":65280,"type":"rich","description":"Game starting with:\n<@512192531220398090>","title":"Match found!"}],"content":null,"components":[],"nonce":"15324341430809338709","enforce_nonce":true,"tts":false} has returned 200
[2025-12-17 08:50:41] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1440758890336620787/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'Match found!', 'description': 'Game starting with:\n<@512192531220398090>', 'color': 65280, 'content_scan_version': 0}], 'timestamp': '2025-12-17T00:50:41.013000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1450651380929790012', 'channel_id': '1440758890336620787', 'author': {'id': '1439608995815100529', 'username': 'Mahjong', 'avatar': 'c8ca0add444f297894011de505df9d63', 'discriminator': '3202', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '15324341430809338709'}
[2025-12-17 08:50:41] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/512192531220398090 with None has returned 200
